Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Indian Defence Facts,@indiandefence11,2018-07-01T03:37:57.000Z,False,INS Ranvir of Indian Navy launching a BrahMos Missile from its 8-cell Larsen & Tourbo UVLM VLS Module.,1,47,106,0,[],[],[],https://pbs.twimg.com/profile_images/1130123883724455938/8gk4MG28_normal.jpg,https://twitter.com/indiandefence11/status/1013265425512230917,tweet_id:1013265425512230917
Rashtriya Astra Forum,@RAFIndia_,2022-10-13T08:40:29.000Z,False,FIRST LOOK at Larsen & Tourbo (L&T) Future Infantry Fighting Vehicle (FICV). To be formally unveiled in Defence Expo 2022.,40,95,826,0,[],[],[],https://pbs.twimg.com/profile_images/1479682162890661889/k9TSykZl_normal.jpg,https://twitter.com/RAFIndia_/status/1580478568915959809,tweet_id:1580478568915959809
Garv Jain,@GarvModi70,2023-01-17T08:30:29.000Z,False,Larsen & Tourbo Looks Good                ,2,4,24,3K,[],"['@nakulvibhor', '@kuttrapali26', '@PAlearner', '@Stocktwit_IN', '@caniravkaria', '@intradaygeeks', '@rachitpjain', '@rohanshah619', '@Rishikesh_ADX', '@chartmojo', '@mystock_myview', '@Ishan_Narayan_', '@cakunalshah1983', '@Breakoutrade94', '@Anshi_________', '@nishkumar1977']",[],https://pbs.twimg.com/profile_images/1722519774566162432/RM_ESlZo_normal.jpg,https://twitter.com/GarvModi70/status/1615265286034444288,tweet_id:1615265286034444288
Haldilal,@haldilal,2023-07-23T10:25:09.000Z,False,"The Construction Update on the Navi Mumbai/Pune International Airport Terminal phase 1, at Ulwe, NAVI MUMBAI, MMR. Architect: Zaha Hadid Architect. Promoters: AADML+CIDCO. Civil: Larsen & Tourbo. Status: Under Construction. Completion: Q4 2024 stated. : Respective Owners.",17,34,337,64K,[],[],['\\U0001f4f7'],https://pbs.twimg.com/profile_images/1763154929827356672/SeMi2_yx_normal.jpg,https://twitter.com/haldilal/status/1683060674732208129,tweet_id:1683060674732208129
CA Bijay Kr Sharma,@Bijay_reborn,2022-05-15T12:58:44.000Z,True,LARSEN & TOURBO,1,4,27,0,[],[],[],https://pbs.twimg.com/profile_images/1363502384236797958/a5tQAGXJ_normal.jpg,https://twitter.com/Bijay_reborn/status/1525822991606906881,tweet_id:1525822991606906881
Arup Duttaroy,@arupdroy,2018-11-14T03:38:02.000Z,False,Way to go Larsen & Tourbo (L & T) Infotech https://lnkd.in/ffseJ-p,0,0,1,0,[],[],[],https://pbs.twimg.com/profile_images/474219171564105728/MmNaFTFD_normal.jpeg,https://twitter.com/arupdroy/status/1062550197249757184,tweet_id:1062550197249757184
S. Lalitha,@Lolita_TNIE,2023-12-30T11:40:28.000Z,True,"#BengalurusuburbanRail Larsen & Tourbo finally handed over Letter of Authorisation to go ahead with const works for Kanaka Line (Heelalige to Rajanakunte) for Rs 1041.51 cr. Deadline ths. It includes 2 crucial alignments, with BMRCL & its corr 1 (in pics) (1/2)",9,35,254,26K,['#BengalurusuburbanRail'],['@NewIndianXpress'],[],https://pbs.twimg.com/profile_images/1565032268418383872/mRc0oai9_normal.jpg,https://twitter.com/Lolita_TNIE/status/1741061688693330132,tweet_id:1741061688693330132
Rashtriya Astra Forum,@RAFIndia_,2022-01-24T04:43:34.000Z,False,"As per India Today, the order worth more than Rs. 10000 crore will involve local production of all the units by Larsen & Tourbo (L&T), making it the largest order placed with an Indian private sector defence firm. The same firm was involved in production of 100 units in the past.",1,11,173,0,[],[],[],https://pbs.twimg.com/profile_images/1479682162890661889/k9TSykZl_normal.jpg,https://twitter.com/RAFIndia_/status/1485473325606309891,tweet_id:1485473325606309891
Nasir ناصر,@MdNasir_9,2020-07-29T06:47:57.000Z,False,I am bringing this to notice you Mr. Larsen & Tourbo (L&T) offered to build Ram Temple on the Babri Masjid demolition site for FREE. https://t.co/JY4ZbNepSe,0,3,5,0,[],['@MJALSHRIKA'],[],https://pbs.twimg.com/profile_images/1541121967071186945/875SO8j__normal.jpg,https://twitter.com/MdNasir_9/status/1288365631230767104,tweet_id:1288365631230767104
ViPiN,@AlgoBoffin,2022-07-08T06:58:42.000Z,True,#LT (Larsen & Tourbo) (2X possible in 6-12 Months),0,3,43,0,['#LT'],[],[],https://pbs.twimg.com/profile_images/1607407092222287874/IFQHZVmH_normal.jpg,https://twitter.com/AlgoBoffin/status/1545301332059639810,tweet_id:1545301332059639810
FinAspiration,@FinAspiration,2023-09-13T11:48:24.000Z,True,"  LARSEN AND TOURBO :-  MARKET CAP :- ₹ 4,07,841 Cr. CMP :-  ₹ 2,908 PE :- 36.4 ROCE :- 12.4 % ROE :- 11.7 %Debt to Equity :- 1.35OPM :- 14.2 %",2,13,69,9.9K,[],[],"['\\U0001f6e3', '\\u26a1', '\\u26a1', '\\u26a1', '\\u26a1', '\\u26a1', '\\u26a1', '\\u26a1', '\\U0001f6e3', '\\u26a1', '\\u26a1', '\\u26a1', '\\u26a1']",https://pbs.twimg.com/profile_images/1709611917415780352/2hJfpdjn_normal.jpg,https://twitter.com/FinAspiration/status/1701925794191417633,tweet_id:1701925794191417633
RS,@WithRitesh,2020-02-29T17:08:53.000Z,True,Building India. Building History. That’s Larsen & Tourbo. https://newindianexpress.com/nation/2020/feb/29/lt-ready-to-construct-ram-temple-in-ayodhya-for-free-say-vhp-leaders-2110327.html…,1,3,18,0,[],[],[],https://pbs.twimg.com/profile_images/1765681325603016704/wehNabxZ_normal.jpg,https://twitter.com/WithRitesh/status/1233801324245860353,tweet_id:1233801324245860353
