Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
MyTradeJournal,@MyTradeJournal9,2024-03-15T11:11:25.000Z,False,"2. Larsen & Tourbo - Bags order in the range of Rs 5k - 10K Cr in Middle east

Technicals: New long, High increase in 1 month

Fundamentals: Improved ROE, Consistently paying Dividend",1,0,1,14,[],[],[],https://pbs.twimg.com/profile_images/1745872759001878528/Ofh-Zs7a_normal.jpg,https://twitter.com/MyTradeJournal9/status/1768595855106584812,tweet_id:1768595855106584812
Vivek,@NotyourVivek,2024-03-14T12:00:04.000Z,True,"Why only Larsen and Tourbo getting every tender of every infrastructure projects of governments, isn't, there are any other indian companies to compete for tenders.",3,2,10,571,[],[],[],https://pbs.twimg.com/profile_images/1767992638878158849/Sd-13INE_normal.jpg,https://twitter.com/NotyourVivek/status/1768245711634886929,tweet_id:1768245711634886929
Vipin Gupta,@Vipster007,2024-03-07T08:52:03.000Z,False,"#stockstoavoid - I am thinking to start posting on stocks to avoid. Top 5 stocks where I won't trade #sbilife#LT (Larsen & Tourbo)#NH (Narayana Hrudalaya)#motilalofs#apollotyres 

List purely based on technicals. Strictly my personal views, no buy/sell reco ",1,0,0,241,"['#stockstoavoid', '#sbilife', '#LT', '#NH', '#motilalofs', '#apollotyres', '']",[],"['\\U0001f645\\u200d\\u2640\\ufe0f', '\\u26d4\\ufe0f']",https://pbs.twimg.com/profile_images/1749778185506721792/goImcr2b_normal.jpg,https://twitter.com/Vipster007/status/1765661679369756967,tweet_id:1765661679369756967
Diptarka Bhunia,@AnonymousTradr1,2024-02-26T17:45:09.000Z,False,""" Exploring potential daily reversal in Larsen and Tourbo. 
Excellent opportunity .Waiting for the high break!  #Midcap #StockMarketindia #Adani",0,0,2,325,"['#Midcap', '#StockMarketindia', '#Adani']",[],"['\\U0001f4c8', '\\U0001f4bc', '\\U0001f680']",https://pbs.twimg.com/profile_images/1735662594512326656/mlLKUHV2_normal.jpg,https://twitter.com/AnonymousTradr1/status/1762171958928756929,tweet_id:1762171958928756929
Vash,@ThatLadyTrader,2024-02-26T03:57:46.000Z,False,"#LT #LarsenTourbo 
Bouncing off the support zone.
Detailed : https://youtu.be/ymqnbPTV-6c",0,0,0,104,"['#LT', '#LarsenTourbo']",[],[],https://pbs.twimg.com/profile_images/1742621739585241088/jk6oRomn_normal.jpg,https://twitter.com/ThatLadyTrader/status/1761963743620079942,tweet_id:1761963743620079942
Ganesh,@Ganesh15052003,2024-02-21T17:32:16.000Z,False,Larsen and Tourbo company starting vachinde 1 coding question attempt cheyaleka poya,1,0,1,29,[],[],[],https://pbs.twimg.com/profile_images/1762808897830830080/NwzuKXYR_normal.jpg,https://twitter.com/Ganesh15052003/status/1760356779811287372,tweet_id:1760356779811287372
blinkX,@getblinkx,2024-02-21T10:44:57.000Z,True,Which of the following companies has the highest Market Cap?#adani #hindustanunilever #larsentourbo #bajajfinance #marketcap #company #highest #money #finance #Poll #PollOfTheDay,0,0,0,489,"['#adani', '#hindustanunilever', '#larsentourbo', '#bajajfinance', '#marketcap', '#company', '#highest', '#money', '#finance', '#Poll', '#PollOfTheDay']",[],[],https://pbs.twimg.com/profile_images/1679022335406542848/me1Mnm1c_normal.jpg,https://twitter.com/getblinkx/status/1760254275496583481,tweet_id:1760254275496583481
DAY-NULM,@NULM_MoHUA,2024-02-16T16:18:07.000Z,False,"Smt Shikha Srivastava, Head, Urban Poverty Alleviation, TATA Trusts; and Shri J Raguraman, Head, Construction & Skill Training Institute, Larsen & Tourbo participated in the discussion.",1,5,6,129,[],[],[],https://pbs.twimg.com/profile_images/1698621649984364544/Efo06ZX8_normal.jpg,https://twitter.com/NULM_MoHUA/status/1758526179622232347,tweet_id:1758526179622232347
Abhu,@abhu_tyagi,2024-02-15T17:38:19.000Z,True,"The last line is a bare-faced lie. Its pretty much indisputable that citizens knew more about a higher % of cash going to political parties before electoral bonds.

For example, we knew that Larsen and Tourbo (of the infamous Pragati Maidan fiasco) was a big BJP donor",0,0,2,216,[],[],[],https://pbs.twimg.com/profile_images/1573823123069276167/0AO_7icb_normal.jpg,https://twitter.com/abhu_tyagi/status/1758183972989706561,tweet_id:1758183972989706561
Sahil Pahwa,@Sahilpahwa09,2024-02-11T17:52:59.000Z,True,"LT ki Kundali!!!

Doing 4th!!!

Possible Ew Counts of #LarsenTourbo",6,3,40,8.2K,['#LarsenTourbo'],[],[],https://pbs.twimg.com/profile_images/1517375235611267072/oX2zTeal_normal.jpg,https://twitter.com/Sahilpahwa09/status/1756738113655693366,tweet_id:1756738113655693366
