Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID,content_english
Sovrenn,@sovrennofficial,2024-03-19T06:22:27.000Z,True,"Clients of the company include Tata, Indian Railways, NTPC, Adani, Maha Metro, Namma Metro, Ministry Of Defence, SAIL, RITES,GATX, Larsen & Tourbo etc.",1,0,2,334,[],[],[],https://pbs.twimg.com/profile_images/1660201830973083648/U8MCwiYo_normal.jpg,https://twitter.com/sovrennofficial/status/1769972686900298129,tweet_id:1769972686900298129,"The company's clients include Tata, Indian Railways, NTPC, Adani, Maha Metro, Namma Metro, Ministry of Defence, SAIL, RITES, GATX, Larsen & Tourbo etc."
MyTradeJournal,@MyTradeJournal9,2024-03-15T11:11:25.000Z,False,"2. Larsen & Tourbo - Bags order in the range of Rs 5k - 10K Cr in Middle east

Technicals: New long, High increase in 1 month

Fundamentals: Improved ROE, Consistently paying Dividend",1,0,1,76,[],[],[],https://pbs.twimg.com/profile_images/1745872759001878528/Ofh-Zs7a_normal.jpg,https://twitter.com/MyTradeJournal9/status/1768595855106584812,tweet_id:1768595855106584812,"2. Larsen & Toubro - Bags order in the range of Rs 5k - 10K Cr in Middle east
Technical: New long, High increase in 1 month
Fundamentals: Improved ROE, Consistently paying Dividend"
Vipin Gupta,@Vipster007,2024-03-07T08:52:03.000Z,False,"#stockstoavoid - I am thinking to start posting on stocks to avoid. Top 5 stocks where I won't trade #sbilife#LT (Larsen & Tourbo)#NH (Narayana Hrudalaya)#motilalofs#apollotyres 

List purely based on technicals. Strictly my personal views, no buy/sell reco ",1,0,0,276,"['#stockstoavoid', '#sbilife', '#LT', '#NH', '#motilalofs', '#apollotyres', '']",[],"['\\U0001f645\\u200d\\u2640\\ufe0f', '\\u26d4\\ufe0f']",https://pbs.twimg.com/profile_images/1770759941759926272/uN1pK3-M_normal.jpg,https://twitter.com/Vipster007/status/1765661679369756967,tweet_id:1765661679369756967,"#stockstoavoid - I am thinking to start posting on stocks to avoid. Top 5 stocks where I won't trade #sbilife#LT (Larsen & Tourbo)#NH (Narayana Hrudalaya)#motilalofs#apollotyres 

List purely based on technicals. Strictly my personal views, no buy/sell reco"
Diptarka Bhunia,@AnonymousTradr1,2024-02-26T17:45:09.000Z,False,""" Exploring potential daily reversal in Larsen and Tourbo. 
Excellent opportunity .Waiting for the high break!  #Midcap #StockMarketindia #Adani",0,0,2,370,"['#Midcap', '#StockMarketindia', '#Adani']",[],"['\\U0001f4c8', '\\U0001f4bc', '\\U0001f680']",https://pbs.twimg.com/profile_images/1735662594512326656/mlLKUHV2_normal.jpg,https://twitter.com/AnonymousTradr1/status/1762171958928756929,tweet_id:1762171958928756929,""" Exploring potential daily reversal in Larsen and Toubro.
Excellent opportunity .Waiting for the high breakout! #Midcap #StockMarketindia #Adani"
Vash,@ThatLadyTrader,2024-02-26T03:57:46.000Z,False,"#LT #LarsenTourbo 
Bouncing off the support zone.
Detailed : https://youtu.be/ymqnbPTV-6c",0,0,0,154,"['#LT', '#LarsenTourbo']",[],[],https://pbs.twimg.com/profile_images/1742621739585241088/jk6oRomn_normal.jpg,https://twitter.com/ThatLadyTrader/status/1761963743620079942,tweet_id:1761963743620079942,"#LT #LarsenTourbo 
Bouncing off the support zone.
Detailed : https://youtu.be/ymqnbPTV-6c"
Ganesh,@Ganesh15052003,2024-02-21T17:32:16.000Z,False,Larsen and Tourbo company starting vachinde 1 coding question attempt cheyaleka poya,1,0,1,73,[],[],[],https://pbs.twimg.com/profile_images/1762808897830830080/NwzuKXYR_normal.jpg,https://twitter.com/Ganesh15052003/status/1760356779811287372,tweet_id:1760356779811287372,Larsen and Turbo company started but failed to attempt 1 coding question.
blinkX,@getblinkx,2024-02-21T10:44:57.000Z,True,Which of the following companies has the highest Market Cap?#adani #hindustanunilever #larsentourbo #bajajfinance #marketcap #company #highest #money #finance #Poll #PollOfTheDay,0,0,0,535,"['#adani', '#hindustanunilever', '#larsentourbo', '#bajajfinance', '#marketcap', '#company', '#highest', '#money', '#finance', '#Poll', '#PollOfTheDay']",[],[],https://pbs.twimg.com/profile_images/1679022335406542848/me1Mnm1c_normal.jpg,https://twitter.com/getblinkx/status/1760254275496583481,tweet_id:1760254275496583481,Which of the following companies has the highest Market Cap?#adani #hindustanunilever #larsentourbo #bajajfinance #marketcap #company #highest #money #finance #Poll #PollOfTheDay
DAY-NULM,@NULM_MoHUA,2024-02-16T16:18:07.000Z,False,"Smt Shikha Srivastava, Head, Urban Poverty Alleviation, TATA Trusts; and Shri J Raguraman, Head, Construction & Skill Training Institute, Larsen & Tourbo participated in the discussion.",1,5,6,170,[],[],[],https://pbs.twimg.com/profile_images/1698621649984364544/Efo06ZX8_normal.jpg,https://twitter.com/NULM_MoHUA/status/1758526179622232347,tweet_id:1758526179622232347,"Smt Shikha Srivastava, Head, Urban Poverty Alleviation, TATA Trusts; and Shri J Raguraman, Head, Construction & Skill Training Institute, Larsen & Tourbo participated in the discussion."
Abhu,@abhu_tyagi,2024-02-15T17:38:19.000Z,True,"The last line is a bare-faced lie. Its pretty much indisputable that citizens knew more about a higher % of cash going to political parties before electoral bonds.

For example, we knew that Larsen and Tourbo (of the infamous Pragati Maidan fiasco) was a big BJP donor",0,0,3,257,[],[],[],https://pbs.twimg.com/profile_images/1573823123069276167/0AO_7icb_normal.jpg,https://twitter.com/abhu_tyagi/status/1758183972989706561,tweet_id:1758183972989706561,"The last line is a bare-faced lie. Its pretty much indisputable that citizens knew more about a higher % of cash going to political parties before electoral bonds.

For example, we knew that Larsen and Tourbo (of the infamous Pragati Maidan fiasco) was a big BJP donor"
Sahil Pahwa,@Sahilpahwa09,2024-02-11T17:52:59.000Z,True,"LT ki Kundali!!!

Doing 4th!!!

Possible Ew Counts of #LarsenTourbo",6,3,40,8.2K,['#LarsenTourbo'],[],[],https://pbs.twimg.com/profile_images/1517375235611267072/oX2zTeal_normal.jpg,https://twitter.com/Sahilpahwa09/status/1756738113655693366,tweet_id:1756738113655693366,"LT ki Kundali!!!

Doing 4th!!!

Possible Ew Counts of #LarsenTourbo"
